category_1,category_2,year_from,year_to,npmi_from,npmi_to,npmi_diff,abs_npmi_diff,pair_count_from,pair_count_to
10001,11001,2010,2011,-0.10764447963073905,-0.006076688947688091,0.10156779068305095,0.10156779068305095,64,289
10001,11002,2010,2011,0.12659738775736523,0.006030796319693199,-0.12056659143767204,0.12056659143767204,38,116
10001,11005,2010,2011,0.08952847399872363,0.15336346119874678,0.06383498720002315,0.06383498720002315,13,124
10001,11006,2010,2011,0.07688011259473261,0.03894775306511019,-0.03793235952962242,0.03793235952962242,10,41
10001,11008,2010,2011,-0.04703704336405753,-0.11242313121145192,-0.06538608784739439,0.06538608784739439,34,111
10001,12001,2010,2011,0.06648033187188283,0.04954357767946639,-0.016936754192416442,0.016936754192416442,34,145
10001,12003,2010,2011,0.08045449321380774,-0.03997251063359318,-0.12042700384740092,0.12042700384740092,48,178
10001,13001,2010,2011,0.010530113403744445,0.0875049548240824,0.07697484142033795,0.07697484142033795,18,120
10001,13003,2010,2011,-0.16926375751236586,-0.2145024182785582,-0.045238660766192346,0.045238660766192346,6,35
10001,13004,2010,2011,0.21908051563507955,0.1756419056551267,-0.04343860997995286,0.04343860997995286,77,254
10001,13005,2010,2011,-0.02695949825721129,-0.06287489703406032,-0.03591539877684903,0.03591539877684903,60,241
10001,14001,2010,2011,0.12427306813374213,0.024312172021374624,-0.0999608961123675,0.0999608961123675,23,83
10001,14002,2010,2011,0.024592048897701037,0.022835377490117086,-0.0017566714075839505,0.0017566714075839505,18,118
10001,14003,2010,2011,0.14012660138233682,0.0717688197173613,-0.06835778166497551,0.06835778166497551,8,44
10001,14006,2010,2011,0.05460323178906557,0.07196749774524204,0.017364265956176468,0.017364265956176468,7,57
10001,14007,2010,2011,-0.08235292608308108,-0.019808585159600607,0.06254434092348046,0.06254434092348046,54,284
10001,15001,2010,2011,0.0739247880917271,0.028955837857736134,-0.04496895023399097,0.04496895023399097,62,231
10001,15002,2010,2011,0.04532402941499985,0.07852360525739581,0.03319957584239596,0.03319957584239596,45,279
10001,15003,2010,2011,0.17744017667215553,0.021383869564938294,-0.15605630710721724,0.15605630710721724,43,81
10001,15004,2010,2011,-0.15063530955651216,-0.07710279294651524,0.07353251660999692,0.07353251660999692,11,96
10001,15005,2010,2011,0.051207133168468935,-0.0013510342690721858,-0.052558167437541124,0.052558167437541124,9,16
10001,15006,2010,2011,0.026080726882985215,0.0048715598175421045,-0.02120916706544311,0.02120916706544311,28,78
10001,15007,2010,2011,-0.17311306600741816,-0.1184652847517763,0.05464778125564186,0.05464778125564186,30,144
10001,16002,2010,2011,0.02879199400791686,-0.07879065414310185,-0.10758264815101871,0.10758264815101871,11,51
10001,16003,2010,2011,0.1933901988923344,-0.02139518981275282,-0.2147853887050872,0.2147853887050872,7,8
10001,16004,2010,2011,0.004481504369329973,-0.02911908522942558,-0.03360058959875555,0.03360058959875555,30,134
10002,11001,2010,2011,-0.11952860222361113,-0.08605211622164877,0.03347648600196236,0.03347648600196236,42,134
10002,11002,2010,2011,-0.03006619556462086,0.04377185102718527,0.07383804659180612,0.07383804659180612,15,84
10002,11005,2010,2011,-0.003437018002401545,0.014797579541573659,0.018234597543975203,0.018234597543975203,6,47
10002,11006,2010,2011,0.06745515261076572,-0.05933272178233985,-0.12678787439310557,0.12678787439310557,7,15
10002,11008,2010,2011,-0.0001804400113099511,-0.04459860368993842,-0.04441816367862847,0.04441816367862847,29,88
10002,12001,2010,2011,0.07845004173141568,0.1225458610573965,0.04409581932598082,0.04409581932598082,26,119
10002,12003,2010,2011,0.07012331101795118,0.019361938171942098,-0.05076137284600908,0.05076137284600908,34,135
10002,12004,2010,2011,-0.032274392278839506,-0.03581132854969467,-0.003536936270855162,0.003536936270855162,8,23
10002,13001,2010,2011,0.05843252143697699,0.04354158608765481,-0.014890935349322183,0.014890935349322183,16,65
10002,13003,2010,2011,-0.08232144420284697,-0.08358794923862492,-0.0012665050357779511,0.0012665050357779511,7,42
10002,13004,2010,2011,0.16163049021062645,0.11936331133424989,-0.04226717887637656,0.04226717887637656,50,143
10002,13005,2010,2011,-0.05744258370254479,-0.042487904533715024,0.014954679168829768,0.014954679168829768,38,156
10002,14001,2010,2011,0.07577665754428475,0.045182197139783005,-0.03059446040450175,0.03059446040450175,14,57
10002,14002,2010,2011,0.11481342168071207,-0.04112173824265987,-0.15593515992337192,0.15593515992337192,19,56
10002,14007,2010,2011,-0.0036958850313037104,0.03817999109690679,0.041875876128210504,0.041875876128210504,50,210
10002,15001,2010,2011,0.005990137414679982,-0.022043539019338684,-0.028033676434018665,0.028033676434018665,36,121
10002,15002,2010,2011,0.08873262799279706,-0.0028380138276722046,-0.09157064182046927,0.09157064182046927,38,137
10002,15003,2010,2011,0.0565106396116494,-0.004908812267753025,-0.061419451879402426,0.061419451879402426,21,45
10002,15004,2010,2011,-0.09959532720491616,-0.06712715245721051,0.03246817474770565,0.03246817474770565,10,60
10002,15005,2010,2011,0.09177622957697704,0.09394853304527945,0.002172303468302411,0.002172303468302411,8,17
10002,15006,2010,2011,-0.08602834263648869,-0.072776396686284,0.013251945950204694,0.013251945950204694,12,33
10002,15007,2010,2011,-0.16384449584276503,-0.09022642156008376,0.07361807428268127,0.07361807428268127,21,95
10002,16002,2010,2011,0.004144376924320894,-0.052247577866012876,-0.05639195479033377,0.05639195479033377,7,35
